Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
8,14167.5,3588.5,3747.5,3735,3844.5,3800,4131,3779,3841,3865.5,4142,4137.5,3900.5,3840,3967,3904.5,3827.5,3725,3795,3796,3934.5,3597.5,4298.5,4019.5,3560.5,6483,5978.5,7369,,4767,5378.5,4254,4469,4872,4726,4431,4270,4410,4314.5,4211.5,4554.5,8048.5,6083.5,4090,4111,4493,5920,5089.5,4404.5,4050,6068.5,6842,4239.5,4061,4234.5,4021.5,4271,4028.5,4167.5,6195,7930,8623,7329.5,7229.5,7028,4784,5074,4594.5,3828,3760,3814.5,6985,4682,5234.5,4533.5,4947,3997.5,4971,5457,4279.5,5823,4183,4249.5,4346.5,5053,3488.5,3877.5,3970,12274.5,14784,16632,8642,8937.5
8.17,14078,3579.5,3595.5,3725.5,3697.5,3741,4016.5,3902,3719,3972.5,3968.5,4297,3769.5,3718,3734,3784,3698.5,3794.5,3804,3974,3967.5,3643.5,4233,3965.5,3621,6292.5,6353.5,7897,,4818,4908.5,4415.5,4255.5,4677.5,4525,4413,4592,4483.5,4490.5,4179,4697.5,8181,6329.5,4070.5,4312.5,4449,5788.5,4633,4507,4227,6166.5,6616.5,4043,4025.5,4330.5,4252,4040.5,4001,4135,6415.5,8079,9209.5,7947,7126.5,6961,4487,4946,4857,3912.5,3538.5,3914,6195.5,4895.5,5484,4354.5,5025.5,3997,4890,4866,4450,5764,4469.5,4269.5,4345.5,5073,3471.5,3812,3847.5,12921,15264,17411,9198.5,9188
8.33,13937.5,3546.5,3662,3649,3686,3836.5,4017,3812.5,3850.5,3829,4014.5,4062.5,3894.5,3762.5,3749.5,3932.5,3631,3813,3759.5,3874.5,3826,3558,4111,3885,3544,6645.5,5989,7878,,4694,5200,4317,4276,4607.5,4867,4430,4402.5,4442,4468,4151,4528.5,8385.5,6352,4087,4213,4577,6122,4712.5,4413,4243,6208.5,6145,3919,4086,4343,4230,4146.5,3874.5,4025.5,6371,8317.5,9397.5,7865,7205.5,7816.5,4587,4721.5,4680,3805.5,3531.5,3964,6157,4692,5131,4387,4848,4061.5,5143.5,4964,4197.5,6070,4537,4484,4134,5327,3573.5,4007,3847.5,12780.5,16129,17280.5,9619.5,9572
8.5,14022,3644.5,3661,3693.5,3787.5,3830.5,3852,3855.5,3935.5,3885.5,3955.5,4298,3905.5,3926,3839.5,3683.5,3625.5,3845,3958,4057,3967.5,3569,4088.5,4137.5,3616.5,6456.5,6212,8212,,4709,5292,4268,4164,4552,4550,4510,4311.5,4279,4220.5,4258,4414,8748,6224.5,4178,4134,5235.5,5866,4649,4388,4086.5,6060.5,6225.5,4130.5,4023.5,4335.5,4402,4117.5,4040,4211.5,6651,8246,9249.5,7909.5,8031,7936,4552.5,5008,4702.5,3757.5,3611.5,3850.5,6793,4835,5337.5,4483.5,4900.5,4220.5,5062,4880,4189.5,6048.5,4377,4393,4241,5422.5,3515.5,3821,3763,14523.5,16222,17379,9506,9966
8.67,13891.5,3603,3573,3761.5,3698.5,3764.5,3894.5,3721,3817.5,4002.5,3837,4209,3731,3679,3776,3835.5,3645.5,3801,3744,3853,3800.5,3603.5,4015,4089.5,3619,6870,6178,8405.5,,4534.5,5084.5,4089.5,4301,4554,4654,4381,4652,4489,4356.5,4152,4391,8274.5,6364.5,4062.5,4159,4441,6048.5,4663,4274,4117,6147.5,5976,4096.5,4169,4369,4414,4302,4032.5,4115.5,6710,8846,10012,7813.5,7500,7721,4565,4834,4377,3856.5,3504,3845,6532.5,5096,5324,4674.5,4874,4148,5093.5,4971.5,4176,6070,4308,4417,4314,5040,3616,4090,3819.5,14467,16803,18227,9676.5,9823.5
8.83,13934.5,3626.5,3599.5,3769,3717.5,3866,3971.5,3796,3794,3817.5,3949,4200,3824.5,3723,3658.5,3831.5,3627,3874,3883.5,3801.5,3769.5,3548.5,4199,3970,3636,7007.5,6372,7979,,4702.5,5297.5,4315,4139.5,4596.5,4573.5,4295.5,4484.5,4295,4257,3952.5,4505,8168.5,6506,3943.5,4055.5,4355,5894.5,4560.5,4391.5,4186.5,6051.5,5985.5,3934.5,4001.5,4549,4384,3990.5,4057.5,3999.5,6914,8451,10484,7878.5,7812,7839.5,4241,4786.5,4639,3855.5,3773,3823,6762.5,5039,5621,4939.5,4813.5,4011.5,4836,4761.5,4406.5,6300,4363,4348.5,4068.5,5408,3516.5,3974,3863,14634,16064,18453,10152.5,10008.5
9,13830.5,3506.5,3679,3791,3675,3726.5,3866.5,3640,4285.5,3916,3823.5,4074,3792,3998,3737.5,3868.5,3687,3819,3745,3842,3853,3676,4036,4047.5,3569.5,6511.5,6568,8165,,4604.5,5000.5,4261.5,4112,4566,4674,4419,4346,4308.5,4381.5,4260.5,4310,8692,6882,4185,3945.5,4785,5785,4747.5,4310.5,4124,6255,6140,3970,4129,4533,4463.5,4200,4021,4094.5,6996,9369.5,10975,8676.5,8154.5,7905,4528,4903,4562,3905.5,3606,3995.5,6886,4855.5,5682.5,4753.5,5009,4324,4737.5,4441,4305.5,6422,4544,4494.5,4245.5,5641.5,3695.5,3880,3695.5,16151,16921,19004,10326,10753.5
9.17,14128.5,3591.5,3634,3937.5,3540,3853,3804.5,3694,3823,3689,3972.5,4079,3837,3766.5,3798.5,3760,3574,3925,3739.5,3772.5,3777,3542,4149.5,3971.5,3593.5,6588,6811,8325,,4556.5,4914,4219,4183,4657.5,4720.5,4258,4508,4452.5,4228,4164,4386.5,8277.5,6418,4050.5,4013,4461,5973,4716,4286.5,4418,6363.5,5419,3979,3969,4744,4482,4260,4119.5,4008.5,7132,9403,11395,8349.5,8069,7980.5,4475,4953.5,4608.5,3922,3544.5,3972.5,6780.5,5088,5669,4557.5,4934.5,3953,4890,4768,4171.5,6453,4349.5,4557.5,4133.5,5802.5,3540.5,3684,3674.5,16125.5,17458.5,19336.5,11437,11172.5
9.33,13296.5,3552,3592,3849,3643,4010,3875,3791.5,3890.5,3813,3826.5,4012,3747.5,3744,3720,3736,3770,3813.5,3845,3724,3713.5,3664.5,4036,4009.5,3453.5,6676,6683.5,8477,,4757.5,5018,4117,4103,4946,4750,4392.5,4546,4381,4230,4170.5,4582.5,8743.5,6400.5,4097.5,4066.5,4433,6098,4479,4375,4253.5,6242.5,6264,4138,4400,4613.5,4510,4389,4100.5,4054.5,7418,9995.5,11207,8368,8217,8037.5,4564.5,4992,4455,3827.5,3538.5,4057,7092,5185.5,6089.5,4800,4944.5,4416,5269,4962.5,4153.5,6733,4374.5,4467,4143,5409.5,3557.5,3974.5,3798,16646,17429,19545.5,11242.5,11484
9.5,13347.5,3631.5,3534.5,3747.5,3673,3767.5,3992.5,3709,3772.5,3871.5,3862.5,3986,3691.5,3680,3700.5,3821.5,3599.5,3784,3845.5,3810.5,3838,3523,4125.5,4037,3548.5,7083.5,6746,8929,,4612,5219.5,4324.5,3999,4605,4796,4239.5,4580.5,4299,4221,4123,4605,8512.5,6136.5,4008.5,3911,4653,6279.5,4518.5,4213,4206.5,6435,5854,4017,4160,4892.5,4549,4359,3934,3857.5,7382,10456,12094,9311,7748.5,8355.5,4434,4866,4713.5,3725,3639,3892,7268,5491.5,6702.5,4518.5,4845.5,4142.5,4964,4577,4570.5,6177.5,4514,4480.5,4113,5448.5,3650.5,3804,3887,17285.5,17397.5,20541.5,11400,11533
9.67,13219.5,3556,3530.5,3742,3645.5,3911,3910,3656.5,3899.5,3859.5,3768,3880.5,3654,3608,3682,3743.5,3687.5,3848,3807.5,3708.5,3974,3753.5,4008,3965,3592.5,6638.5,6625,8967.5,,4798,5003,4331,3996,4569.5,4700.5,4358,4335,4105,4268.5,4255.5,4475.5,9021.5,6701,4131,3979.5,4513.5,6099.5,4514.5,4182.5,4126,6247.5,5495,4108.5,4385,5098.5,4744.5,4385,4150,4076,7564,10542.5,12318.5,8566.5,8165,8618,4464,4704,4606.5,3895,3739.5,3981,7497.5,5133,6301,4570,5125,4174,5292.5,4904,4469.5,6610,4419.5,4488.5,4184,5657.5,3489,3830.5,3689,17915.5,17772,21545,12094.5,12215
9.83,12767,3609.5,3591.5,3815,3725.5,3791.5,3822.5,3758,3757,3728.5,3767.5,4128.5,3633.5,3672,3738,3651,3572.5,3808.5,3829.5,3770.5,3684,3561.5,3941.5,4137.5,3572.5,6734.5,6483,9343.5,,4759,5056,4181,4157,4858,4700,4167.5,4382.5,4082,4374.5,4412,4372,8368.5,6384,4012.5,4052,4350,6191,4621,4114,4094,6639.5,5838.5,4072,4436,4939,4699,4359,3986.5,4050.5,7826,11580,12582.5,8771.5,8335,8394,4509,4745.5,4826,4013,3525.5,4071.5,7473.5,5047,6300,4952.5,4905,4192.5,5428.5,4816.5,4251.5,6262,4514.5,4449,4021.5,5835,3536.5,3970,3851,18890,18344.5,21290,12315,13515.5
10,12209,3641,3592.5,3625,3665.5,3806.5,3801,3818,3724.5,3697.5,3843,4065.5,3812,3700,3620.5,3707,3578,3843.5,3742,3811,3850.5,3530.5,4054,4051,3526,7110,6809,9499,,4818,4617.5,4184,4042,5088,4540,4185,4822.5,4111.5,4227,4269.5,4443.5,8779.5,6443,3910,4056,4280.5,6270.5,4569,4139.5,4058.5,6689,5087,4043,4516.5,4897.5,4738,4551,4154,3937,7938,11438.5,12951.5,8960.5,8360,8434,4641,4786.5,4803.5,3920.5,3628,3973.5,7536,5409.5,6297,4608.5,4906,4203,5533.5,4566.5,4335.5,6295,4483.5,4354,3966,6074.5,3602.5,4002.5,3656,19196,17436.5,22481.5,13043,12065
10.17,12069,3594,3574,3674.5,3510.5,3873,3925.5,3707.5,3861.5,3727.5,3872.5,4096,3704,3568,3688.5,3640.5,3509.5,3835,3716.5,3654.5,3698,3477,3963.5,4039.5,3481,7033.5,6682.5,9082.5,,4727.5,4916,4168.5,4019,5033,4696,4238,4489.5,4176,4338,4396,4469,8844.5,5921.5,3977.5,3881.5,4393.5,6606.5,4730,4159,4214,7226.5,5214,4039,4606,4756,4759,4451.5,4235,3993,7937.5,12556.5,13900,8765.5,8865,8661,4855.5,4927.5,4877.5,3911,3411,3799,7870.5,5762,6529,4474.5,5147.5,4222.5,5165,4502.5,4304,6190.5,4354,4484,4120,5877,3539.5,3840,3950.5,19359,18904.5,22833,12429,13641
10.33,12112.5,3422.5,3569,3652,3516.5,3640,3862,3614.5,3830,3677.5,3708,3877,3682.5,3534.5,3696.5,3789,3511.5,3758.5,3775,3865.5,3704.5,3522.5,3927.5,3966,3627,6995,6833,9407,,4681,4922.5,4335.5,4087.5,4861.5,4803,4199,4749,4108,4382.5,4335,4366,8853.5,6340.5,3943,3878.5,4237,6505,4783,4267,4057.5,7515.5,5152,4240,4388,4702,4605,4327,4299,4109.5,8342.5,12273,14131,10101,9039.5,9271,4430.5,4627,4653,3755.5,3610.5,3922,8118.5,5646.5,6809,4584,5018.5,4239,5546.5,4783,4279,6451.5,4525,4386,4118.5,5741,3627.5,3954,3898,21269.5,19145,23258,13824.5,14454
10.5,11969.5,3608,3475,3652.5,3565,3862.5,3775.5,3736,3774.5,3574.5,3810.5,3897.5,3651,3571.5,3736.5,3839,3498.5,3798,3688,3639,3704,3518.5,3939.5,4031,3562,7153,6828.5,9044,,4566.5,5046.5,4028,3937.5,4962.5,4464.5,4085,4703.5,4056,4505.5,4152.5,4483.5,9041.5,6205,4008.5,3920.5,4356,6181,4542,4154,4005.5,7664,5162,3929.5,4623.5,4888.5,4895,4342.5,4317.5,3952.5,8097.5,12778.5,13954.5,8832.5,8682.5,9043.5,4332,4842,4732,3906.5,3764,3943,8226.5,5591.5,6341,4921.5,5082.5,4235,5246.5,4610.5,4236,6230.5,4473.5,4396,4082.5,5839.5,3753,3813.5,3815,21056.5,20090.5,23641.5,13143.5,14735
10.67,12735.5,3644,3534.5,3610,3570.5,3796.5,3754,3620.5,3800.5,3690,3820.5,3926,3612.5,3722,3700,3704.5,3633,3825.5,3741,3794.5,3683.5,3527.5,3771,3970.5,3468,7000,6895.5,9476.5,,4538.5,5107,4281,4107.5,4925,4764.5,4187,4735,4020,4324,4147.5,4310.5,9366,5989,3935.5,4027.5,4298,6416.5,4609,4172,4062.5,8095.5,5373,4373.5,4420,4737,4736,4520,4109,3807.5,8606.5,14045.5,13754,9695,9032.5,9384.5,4545.5,4971.5,4681.5,3825.5,3680.5,3897.5,7919.5,5854.5,6413,4508,5317,4315,5366,4654.5,4199,6583.5,4410,4697,4051,6163,3477.5,3875.5,3809.5,22562.5,19088.5,24561,13753.5,15872.5
10.83,11673.5,3573,3458,3652.5,3579,3787,3769,3662,3821.5,3581,3753,3917.5,3797,3542.5,3655.5,3878,3585.5,3656,3618,3811,3571.5,3498,3828,3934.5,3486.5,6778.5,7074.5,10147.5,,4672.5,4826.5,4441.5,4228.5,5185.5,4806.5,4198.5,4895,4068,4297.5,4189,4647.5,8678.5,6061,3934,4021,4206.5,6543,4567,4083.5,4000.5,8058.5,5540.5,4046,4465,4683,4919.5,4386,4356.5,3958,8724.5,13552.5,14293.5,9824.5,9327.5,9271.5,4450,4854.5,4863.5,3881.5,3558.5,3967.5,8298.5,6140.5,6916,4695,5017.5,4321,5374,4442,4250.5,6433.5,4116,4406.5,4054,5963.5,3614.5,3867,3719.5,22314.5,19544.5,25952.5,14285.5,15824.5
11,12594,3498.5,3529.5,3653.5,3594,3781,3824,3674,3620.5,3607.5,3807,3914,3596.5,3693,3668,3790,3607,3736.5,3664,3681,3705.5,3473.5,3704,3898,3524,7305,7024,10606,,4673.5,4833,4403.5,4016.5,5033.5,4714,4104.5,4907.5,4077,4149.5,4331,4516.5,8938,5878,3957.5,3858.5,4355,6128.5,4577,4106,4084,7993.5,5078.5,4238,4586,4615,5032,4409.5,4166.5,3987,8861.5,14699.5,14924,9898,9443,8818,4305.5,4957,4961,3961.5,3515,4039.5,8911.5,5946.5,7074.5,4602,5059,4188,5424,5030.5,4181.5,6271.5,4429,4857.5,4281.5,6203,3782,3966.5,3619,23592.5,18530,25555,15061,15568.5
11.17,11844,3514,3512.5,3521.5,3533.5,3752,3897.5,3689.5,3827,3567,3871,3919.5,3690.5,3480.5,3686,3745,3508,3808,3617,3756.5,3593.5,3575,3822.5,3922,3600,7017,6849,10181.5,,4740,5143.5,4495.5,4180.5,5383.5,5016.5,4136,4820,4001.5,4332.5,4508,4481.5,9739,6207.5,4005.5,3929.5,4067.5,6856.5,4660.5,4035.5,3905.5,8878.5,5349,4216.5,4770,4788.5,5038.5,4357.5,4029.5,3941.5,8482.5,14326.5,14777,10545,8984.5,9606,4599.5,5012,4733,3828.5,3540,4128,8757,6119.5,7224,4691.5,5015.5,4176,5717.5,4519.5,4248,6063.5,4495.5,4367,4134.5,6158.5,3430,3918,3821.5,22785,19418.5,25142,14516,15506.5
11.33,11562,3500,3474.5,3692.5,3498.5,3868,3831.5,3618.5,3733,3605.5,3701,3977,3552.5,3521,3787,3715.5,3510.5,3717.5,3715,3680,3717,3503,3638.5,3858,3445,7173.5,7186,10991,,4517,4758,4400,3997.5,5225,5051.5,4240,4958,3985.5,4177.5,4618.5,4670.5,9336,6131.5,4121.5,3878.5,4336.5,6468.5,4505.5,4013,3938,8400.5,5365,4249,4692,4543.5,4986.5,4289.5,4134.5,4022.5,8975,15631.5,14323,9964,10032,9755.5,4556.5,4826,4707.5,3849.5,3546,3850,9236,6068.5,7334.5,4401.5,4729,4236.5,5624,4528,4115,6688,4525.5,4506,4136,6142.5,3800,3939.5,3823.5,23545.5,18670,25654.5,14674,17362
11.5,11894.5,3459.5,3516.5,3562,3597,3806.5,3662,3661.5,3868,3640,3623.5,3803.5,3468,3459.5,3570.5,3772.5,3608,3616.5,3649,3661,3743,3530.5,3706.5,4048,3467,6719.5,6782.5,9553,,4520.5,4940,4494,3977,5120.5,4845.5,4228.5,5069.5,4014.5,4356.5,4699.5,4607,8684,6108.5,4007,3799.5,4365,6274.5,4428.5,3962,3949.5,8488,5171,4017,4737.5,4489.5,4841,4023.5,4145.5,3946,9226.5,16391,14937,10634,10109.5,9619,4596.5,5020,4794.5,3998,3543,4222,9308,6260.5,7352,4497.5,5092,4377.5,5588.5,4675.5,4189.5,6076.5,4441,4606.5,3991.5,6314.5,3806,3909.5,3695,23096,18537,25960,15130,16955.5
11.67,12192,3511.5,3481.5,3648,3556.5,3799.5,3746,3811.5,3841.5,3626,3581,3887.5,3625.5,3628,3593.5,3565,3452.5,3734,3591,3612,3567,3553.5,3699,3870.5,3507.5,7396,7032,10744.5,,4454,5014,4409.5,4160,5460,4592,3945,5327,3949,4206,4762.5,4639,9597.5,5744,3868,3892.5,4094,6419.5,4281,4096,4079,8658.5,4865,4229.5,4687,4487.5,5046,4247.5,4186,3917,9329.5,15849,15410.5,10913.5,9643.5,9508.5,4496,5361.5,4732.5,4068.5,3455,3925,8918,6316.5,7330.5,4700,5289,4239,6006.5,4263,4232,6298.5,4453,4563,4039.5,6335.5,3742,4021.5,3822,23176.5,18770.5,24878.5,14674,17841.5
11.83,11845,3485.5,3529,3463,3389,3823.5,3636,3456.5,3762,3566,3648.5,3942,3613,3382,3616.5,3792,3444.5,3684,3609.5,3691.5,3511,3426.5,3772,3979.5,3561.5,7138.5,7070,10174.5,,4261.5,4827,4301,3850,5226,4838.5,3969.5,5010,3710.5,4170,4788,4491.5,9005.5,5959,3923,3725,4029,6798.5,4342,3915,4012,8733.5,5131.5,4072,4973,4332,4977.5,4184.5,3930,3798,9660,17230.5,15020,10940.5,10163.5,9868,4487,4979.5,4886,4143,3414.5,4134,9552.5,6606.5,7519,4736,4803.5,4187,5701.5,4563.5,4249,6305.5,4369.5,4432.5,4188.5,6425,3795,3688,3779,22862,18269,24353,14288.5,18802.5
12,12467.5,3394.5,3326.5,3468,3533.5,3593.5,3770,3416,3627,3554.5,3708,3568,3588,3367,3630.5,3736,3456.5,3580.5,3456,3611,3441,3415,3594.5,3821,3387,7513.5,6908.5,10737.5,,4257.5,4591.5,4430,3773,5238,4785.5,3985,5207.5,3788.5,4082.5,4701,4299.5,9130,5555,3915.5,3761,4316,6444.5,4400.5,3938,3948,7745.5,4926.5,4007.5,5008,4502,4799,4187,3921.5,3879,10073,17894.5,15645,11531.5,10143,9475.5,4533,5067.5,4961.5,3981.5,3619.5,4106,9948,6530.5,6723.5,4702,4977.5,4364,5829.5,4241.5,4335.5,6601,4259,4366,4147.5,6097.5,3843.5,3818.5,3931.5,23265.5,17059,22887,14943.5,18670
