Hour,S.tenebrarius (C+),S.coelicolor (C-),MZ103A,HL101H,CC223A,CR101A,KL110A,CC216A,CC219B,CC210A,CC208A,CC219C,KL111A,KL116E,CC201C,CC227G
0.00,4416,3657.5,3845,3659,3829,3820,3697,3709.5,3775,3663,3718.5,3771.5,3522.5,3975.5,4291,4588
0.17,3569.5,3524,5343,3492.5,3264.5,4797.5,3445.5,3701,3797,3650.5,3527,3650.5,3554.5,3751,4690,4212
0.33,4091.5,3852.5,6122,3639.5,4011.5,5961,3788.5,4145,4116,4064.5,3753,4122,3790.5,6198.5,5040.5,4383.5
0.50,4441.5,4113,6682,3900.5,4214.5,6229,4140,4733,4362,4252,4151,4642.5,4259.5,7309,5248,4911.5
0.67,4818.5,4575,6420,4383,4155,6084,4738.5,5204,4594,4748,4210,4937,4225.5,6950.5,5743,5136.5
0.83,5139.5,4383.5,6592,4427,4540.5,6393.5,4458,5071.5,4746,5200.5,4365.5,4942,4135,6975,5518,5593
1.00,5487.5,4528.5,6349.5,4620,4611.5,7069.5,4845,5315,4789,5209,4326,4725.5,4403,7392.5,6052,5753.5
1.17,5666.5,4473,6673,4660.5,4461,7232.5,5089,5019.5,4816.5,5314.5,4311.5,4699.5,4635,7096.5,6413,5879.5
1.33,5281.5,4565.5,6510.5,4494,4468,7378,5008.5,4899.5,4533,5290.5,4314.5,4675,4429,8050,6576.5,5971
1.50,5887,4875,6199.5,4546.5,4356,7436.5,4866.5,5089.5,4818.5,5232,4105,4570,4508.5,7465.5,7367.5,5978.5
1.67,5623.5,4464.5,6170,4423,4602.5,7156,4504.5,4605.5,4750,5034,4350.5,4543,4450,7948,7151.5,6594
1.83,5271.5,4397,5741,4177,4384,6813,4720,4457.5,4482.5,4886.5,4280.5,4578.5,4147.5,7846,7313,6622
2.00,5643.5,4275.5,5839.5,4247.5,4447.5,6766,4388.5,4520.5,4552.5,4827,4121,4457,4145.5,7457,7452,6939.5
2.17,5797.5,4300,5639,4206,4365.5,6116.5,4534.5,4314.5,4505,4798,4125.5,4242.5,4160.5,7884,7195,6590.5
2.33,5817.5,4127,5344.5,4129.5,4261.5,6306,4360,4291.5,4401,4622.5,4232.5,4437.5,4233,7392.5,7711.5,6663
2.50,5981,4231,5241.5,4107,4280,6171.5,4482.5,4371.5,4390,4770.5,4255,4205,4167,7546,7130.5,6641.5
2.67,5825,4291.5,5036,4219.5,4192,5866,4211.5,4089.5,4609,4517,4289.5,4243.5,3950,7101.5,7312,6278.5
2.83,5856.5,4156.5,5195,4187,4091,5744,4296,4337.5,4440,4555.5,4128.5,4104.5,4146,7684,7462,6745
3.00,5703,4182,5132,4055.5,4218.5,5418,4323,4049.5,4268,4647,3991,4197,4017,7460,7622,6676
3.17,5988,3986.5,5114.5,4104.5,4071.5,6011,4197.5,3878,4228.5,4279,4179,4276,4183.5,7727.5,8173.5,6845
3.33,5830.5,4083.5,4992.5,3977.5,3944.5,5605.5,4231,3998,4269.5,4433.5,4041.5,4037,4155.5,7766.5,7729.5,6755.5
3.50,5979.5,3935,4974,4139.5,3994.5,5537.5,4073,4144,4244.5,4221,4159,4188.5,4052.5,7968,8111,7106.5
3.67,5980.5,4100.5,5063.5,4111.5,3950,5352.5,4348,4039,4137.5,4477,4154,4306,4105,7584,7929,7040.5
3.83,6244.5,4014,5172,4081,4157.5,5857.5,4187.5,4070,4224.5,4148.5,3975,4130,3968.5,7979.5,8614,7031.5
4.00,5777,4051.5,5200.5,4012,4037.5,5315.5,4037.5,3869,4258.5,4262.5,4059,4203.5,3995.5,8758,8897,7196
4.17,5876,3967.5,4870.5,3976.5,3941,5452.5,4170,4084,4165.5,4136,4169.5,4122.5,3935.5,8261.5,8550.5,7492.5
4.33,6472,4161.5,4940.5,4232.5,3949,5299,4179.5,4161.5,4227.5,4278,3960.5,4110.5,4007.5,8167,8382,7165.5
4.50,6458.5,4044.5,5075.5,3931.5,3969,5341.5,4239.5,4064,4280,4296.5,4211.5,4215,4077.5,8005.5,9202.5,7418
4.67,6498,4039,5071,4027.5,3922.5,5645.5,4267.5,3941,4317.5,4060.5,4128.5,4013,4066.5,8501,9818.5,7625
4.83,6698,4038.5,4765,3957.5,4034,5479.5,4227.5,4259.5,4194,4331.5,4208.5,4069.5,4091.5,8269.5,9301,8081
5.00,6691.5,4112,5019.5,4024.5,3991,5368.5,4162,4158,4248,4335,4195.5,4064.5,4214,8156.5,9310,7693.5
5.17,6868.5,4081,5027,3901.5,4096,5558,4471.5,4151.5,4382,4241.5,4305.5,4142,3932,8579,9251.5,7968.5
5.33,7059.5,4071,4864.5,3888.5,3954.5,5291.5,4087.5,4099,4676.5,4166.5,4236.5,4050,4001,8606.5,9954.5,7522
5.50,7381.5,4063,5130,4010.5,4072,5374.5,4175,3983.5,4637,4235.5,4117.5,4156,3904.5,8527.5,10145,7605.5
5.67,6936.5,4080.5,5232.5,4018,4049.5,5611.5,4371,4223.5,4494.5,4328,4177,4006.5,3994,8499.5,10310,7911.5
5.83,7336.5,4046.5,5043.5,3906,4080.5,5600.5,4225.5,4068.5,4615,4437.5,4168,4240,4014,9036,10649.5,8501
6.00,7524.5,4067.5,4673.5,4067.5,4045.5,5491.5,4270.5,4037.5,4399.5,4403.5,4009,4305,4070,8710.5,10805.5,8350.5
6.17,7832,4126.5,4920,4098,3964.5,5332.5,4274,4196,4534.5,4403,4157.5,4103.5,3952.5,8470.5,10839,8828.5
6.33,7659,4088,4770,4002.5,3827.5,5700,4237.5,4039,4544.5,4445.5,3946,4146,3927,8268,11854.5,9050
6.50,7904,4063.5,4774,3960,4044.5,5653.5,4190,4110,4791.5,4380,4129,4064,4229,8216.5,11367,8487
6.67,8114.5,4085.5,4796,3936,3884.5,5343.5,4253.5,4260,4559,4627.5,3977,4155.5,4140.5,7750.5,11667.5,9088.5
6.83,7536.5,4173.5,4945.5,3950,4041.5,5338.5,4525,4025,4629,4316.5,3997.5,4166.5,4242.5,8397.5,11383,8800
7.00,8083.5,4101.5,4990.5,4011,4058,5275.5,4407.5,4044,4700.5,4461,4043.5,4001,4165,7923,12041.5,8879.5
7.17,8230,4030,4741,4025,3831.5,5501.5,4277,4035.5,4864.5,4411,4069,3992,3991,7730.5,12651.5,9077
7.33,8497.5,4062,4725.5,3962,3926.5,4946,4551,4157.5,4829.5,4293.5,4066.5,4198.5,4011,7703.5,12831.5,9108
7.50,7987,4010,4639,3929.5,3909,5286.5,4450.5,4188,4865.5,4614,4153.5,3985.5,4032.5,7757.5,12434.5,8966.5
7.67,8403.5,4096.5,4768,4066.5,3802,5136.5,4688,4195.5,5091.5,4579.5,4027,4076.5,4141.5,7656,12617.5,9170.5
7.83,8064.5,4016,4578.5,3927.5,3794.5,5114,4547.5,4126.5,5049,4586,4020,4089.5,4044.5,7567,12614,8878
8.00,8301.5,4227,4731.5,4039.5,3913,4856,4556,4135,4829,4640,4057,4060.5,4259.5,7588.5,13178,9102.5
8.17,7815.5,4042,4721,3943.5,3861,5269.5,4763,4070,4802,4607.5,3865.5,4159,3960,7252,12890,9825.5
8.33,8490,4109,4593.5,4069,3956,4990,4849,4149.5,4974,4730.5,4130,4078.5,4131.5,7384,12374.5,9343
8.50,8380.5,4158.5,4342.5,3921.5,3870.5,5202,5037,4062.5,5299,4660,4135,4167.5,4252.5,7117.5,13110.5,9289.5
8.67,8384,4119.5,4392.5,4024.5,3771,4704,4941.5,4211.5,5352,4878.5,4003,4049,4508.5,7155,13542.5,8918
8.83,8301,4102,4435,4043,3870.5,4895,4814.5,4566,5349.5,4945,4021.5,4054.5,4399,6792.5,13099,9113.5
9.00,8696,4033.5,4381.5,3895.5,3872.5,4817,4927,4166,5535.5,5330.5,4224,4284,4113.5,7296,13302,9402.5
9.17,8322.5,4156.5,4354,4077,3834.5,4636,5024.5,4169.5,5514.5,5234,4138,4187,4353,6972,13190,9138.5
9.33,8618.5,4099.5,4279,3905,3907,4591,5184,4236,5926,5199.5,4142.5,4111.5,4224.5,6945.5,13412.5,9581
9.50,8612.5,4284.5,4328,3964.5,3759.5,4398,5498.5,4038,6382.5,5287,4104,4390,4346.5,7109.5,13813,9294.5
9.67,8563,4397.5,4133.5,3898.5,3778,4624.5,5542.5,4088,6057.5,4860.5,4366,4045.5,4272,6890.5,13655,9228.5
9.83,8528.5,4358,4033.5,4139.5,3791.5,4575.5,5358.5,4311.5,6418,5184,4180,4043.5,4416,6716.5,13724,9158
10.00,8822,4425.5,3907,3947,3772,4839.5,5597,4210,7245.5,5005,4181,4204,4482.5,6759.5,13588.5,8641.5
10.17,9460,4440.5,4148,4057,3757.5,4502,5894.5,4332.5,6967.5,5273.5,4352.5,3964,4354.5,6846,14011,9004
10.33,8880.5,4581,3909,3893.5,3695,4557.5,5780,4475,6970,4916.5,4165,4108.5,4547,6807,13451,8741
10.50,9360.5,4466,3954,4246.5,3781,4397.5,6092.5,4515.5,6994,5147.5,4260.5,4118.5,4672,6933,14504,8981
10.67,9322.5,4665,4080,4000,3771,4211,5941.5,4353,7098.5,5057,4522.5,4040.5,4543,6774,15221,9155.5
10.83,9711.5,4623,4049.5,4047.5,3819.5,4161,5959,4488.5,8546,5428.5,4404.5,4133.5,4745.5,7041.5,14540.5,9093.5
11.00,10093,4694.5,4127,4044,3755.5,4191,6342.5,4325,7615.5,5177,4409,4058.5,4770.5,6523,14174.5,9289.5
11.17,10241.5,5128.5,4046.5,3990,3693,4115.5,6345.5,4205.5,7198.5,5533.5,4312.5,4273,4970.5,7046,15275.5,9327.5
11.33,11469,5226.5,4139,3958,3770.5,4130.5,6727.5,4249,7689,5514.5,4375,4139.5,4991,6935,15128.5,9348
11.50,12223.5,5133,4032.5,3964,3729.5,4008,6695,4236,8224,5706.5,4217,4484.5,5053.5,7062.5,15627.5,9064.5
11.67,12643,4822.5,4168.5,3914,3932,4190,6773.5,4197.5,8062,5762,4008.5,4622,5148.5,7270,15972.5,9032.5
11.83,14118.5,4671.5,3969,3998,3678.5,4133.5,7087,4407,8481.5,5348,4188,4577,5117,6651,16232,9340
12.00,16017.5,5190.5,4167,3957,3825.5,4182.5,7006,4175.5,7943,5899,4049,4798.5,5179,6982,17459,9396
